content,sentiment_labels
fast accurate,2
ok,1
convenient informative,2
I love it.... it has all the original products.,2
cant download,-1
using galaxy note app slow af,-1
ok,1
bakwaas just useless products,-1
great,2
mysjtrace worst feature user friendly worst app,-1
cant receive otp number says opss,-1
u cant register app register mysejahtera website browser works,-1
great,2
app r slow,-1
unable pay loan screen scroll select account trying pay,-1
teruklah apps ni asyik sangkut dekat check je kalau mcm ni sampai bebila pun tak boleh nak claim rm pleaselah kerajaan korang lagi terbaik kot dr menteri ringgek,-1
great experience user friendly navigation,2
easy use,2
love app,2
addictive playing almost every day years great version,2
excellent,2
excellent,2
great,2
actually addicted game seemed wierd critical times game going win match game shuts time get rebooted lost time ever critical moments never play promise game totally rigged thats perfectly clear spin wheel always lands low chances otherwise rigged,-1
update mysejatera app yesterday cant open ask several questions tick answer want submit unable submit,-1
bad service lembapp,-1
simple friendly app use,1
helpful useful registration quick access thanks,2
bunch bugs,-1
student really useful tried multiple pdf reading coming across one none could match one,2
nice products,2
awesome,2
"Just one word wow..you can trust this beauty app, for their authenticity..fast delivery services...and they are getting luxe brands to India now..wow nykaa.u are awesome..",2
app improved ui ux state status improved,2
never let open stupid ads kept popping scammers,-1
sangat bagus di gunakan,-1
easy trace journey history,2
good,2
ok,1
nice app,1
slow load app,-1
useful informative,2
Nt shopping,-1
nice,1
great apps easy use latest info covid,2
they are the biggest cheats...you pay them online and they show fail delivery...and say your order is not refundable. hopless cheap cheating apps ..pls be aware before ordering from this app. this is the worst chesting app online. dont buy products from here.,-1
ease used informative,2
excellence app bt need link gov dept especially kkm,-1
ok,1
cool,1
still register several weeks attempts please help,-1
great except allow access documents via file manager documents opened acrobat accessible acrobat keep filling phone space difficult delete deal breaker,2
verry bad world waiters booked site day booking canceled went date basis canceled booking took money card feel hotel call program hotel took money called hotel set eyes returned floss,-1
mom hard find time work love workouts short based current fitness ability talking nice kids running around screaming wish optional stretch session workout,2
able login try several times please help,-1
ca scan many times please fix,-1
excellent,2
Customer service is really poor.. They dnt even bother to reply to our query,-1
best best,2
well done always update info many info get,2
good app buy makeup products delivers authentic product n runs really goof offers well surely recommend use app,2
Best app,2
super,2
easy locate going stopping pandamic time,2
easy use,2
super fast ordering reordering easy interface love convenience app,2
excellent,2
please update app nothing works,-1
Its really helpful kids,2
instable many bugs,-1
ok,1
I'm not satisfied with the product,-1
"Don't sell waste product on your app i will see the review of m caffeine green tea hair oil ,shampoo, conditioner n mask then i will buy the product on your app after one wash my hair gone frizzy n damaged plz refund my money first time i will face this type of problem on your app",-1
easy use hope authorities use data responsible manner,2
useful apps,2
Change your brand ambassador i will be back again..she is not beautiful a product of nepotism and a part in anty army anty india project of islamic Bollywood..,-1
already reagister cant log,-1
health always top priority mysg,2
ok,1
help everybody,2
enjoyed game much last games ive played either taken money automatically said opponent im game take shot says ran time automatically wins fix problem ill rate star many lags game like monaco lag dozens like somehow manages buy cue twice ended barely money,-1
needed reset password since rd february date received single sms link rest password everything keyed correctly please help,-1
Delay and not showing delivery dates,-1
great apps,2
worst app,-1
Love it,2
best,2
good apps slow updated covid data,2
user friendly system,1
usefull,2
best,2
like,2
easy n reliable,2
bad,-1
Great app for online beauty products,2
nice app,1
excellent,2
helfull,2
unable check hotspot please fix asap,-1
I got all the lakme absloute dublicate products. So i jst hate this app,-1
useful sorts different things easy navigate full different styles clothes,2
I have ordered products in pink sale my orders has been returned back to warehouse I'm receiving all the delivery and courier to my area and how it's possible to not receive this one and returned to warehouse now they are asking me to re- order and returned to warehouse cannot re-ship and if I re-order will not the get same discount changing from 5 Stars to 1 . Worst experience .,-1
Very bad courier service my order is 24 date but I can't receive my order two days is failed delivery wow express is very bad service,-1
nice,1
love lost pounds far,2
love life pd,2
nice helpful,1
amazing deals availability products make app fabalous,2
cant create account tried different emails says error occurred wasted time uninstalling,-1
easy,2
ok,1
risk assessment blank page stupid,-1
good,2
"Disgusting....it was really a worst experience 12 days passed since delivery date and yet no product at your door, afterwards it is to be informed that delivery can't be possible.",-1
useful check tracing keeping date looking forward future improvements usability new normal,2
hello updated app latest version somehow mysj trace longer working let allow bluetooth location button please rectify app,-1
mysejahtera check button gone please fix,-1
worst servers iran first time tried game acoutered message connection slow tried best networks iran recently even connect game time please consider better servers cause many iranians love game,2
tells need update option update uninstall try open nothing open app day critical able know accounts fix aplus,2
helpful,2
improve quality loading app poorly developed,-1
dah byk improve sgt puas hati,-1
excellent,2
nice,1
complicated slow,-1
easy use,2
Pathetic I have logged a complaint for my refund atleast for 5 times bt there is no response frm your end. Ins this way U work . U are fooling your clients. Quiting Nykka bt I want my money back.,-1
fast easy,2
good,2
terrible immunization application submitted times data kept showing registered whenever login check,-1
great know problem theater add books always working son loves watch music videos working know paying continues sad sad kid hopes watch videos books bedtime even pass current level videos playing star issue big problem move forward,-1
Unable to open my orders section,-1
great app problem product availability delivery service,2
Slowest app ever... Takes a lot of time to just open,-1
think app need reminder check hour,-1
ok,1
great time,2
Probably the best app in India for online shopping of make-up & personal care products.,2
A big surprise for make up lovers,2
nice app,1
user friendly,1
software trash pay,1
kindly update your search result system because the products that we search are not relevant. IF i search for biotique cream Its never shown in results instead your higher rated products that you want to sell more are listed on top.,-1
ok,1
excellent,2
use full,2
"please fix your delivery issues.19 days and still i havent recieved my products, placed a complaint 10 days ago and still no solution.",-1
safe easy,2
I wish there will be zero option......worst return policy. Didn't get what I ordered n complaint many times....they r having issues with there courier partner n I suffered my 1200 rs.... N get wrong delivery after 2 months .....,-1
cant register already tried four times,-1
prices really high products good,2
best,2
i have not receive my order,-1
slow,-1
"Variety of products are there.. But this app doesn't support any wallet as mobikwik,  the otp required will never be sent. My order not yet packed.. Service is so slow and poor.",-1
adobe ruined highlight text fast anymore sign pathetic glad someone recommended xodo convenient features edit tried seemed fine adobe requested log gues stay star,2
fast,2
nice,2
helpful apps like,2
cant register,-1
I'm loving this app. No need to visit stores anymore. All range of beauty products are available at Nykaa. Shopping is fun with Nykaa app,2
ok,1
easy use,2
useless apps,-1
makes life easier check,2
great,2
excellent,2
wonderfull,2
yookoo,1
awesome,2
Worst app ever.. There rerurn policy is pathetic. I am not going to purchase a single product from this site. Learn something from myntra what return policy actually means.,-1
convenience use always latest updated covid news,2
I just love it but please deliver soon,2
useful happy,2
nice app,1
1 st copy products not original ...have compared,-1
malaysia best,2
best app..in lesser price..less from print rate..no xtra charge..early on time service..,2
They are cheaters . I had a order placed and i did full payment online and they dilivered the product to someone else and now not helping me out of this situation . Nykaa sucks,-1
please update app log app,-1
ok,1
many lags please fix issue faster,-1
fast,2
They are totly fake i just hated nyk costumers fake prouducts don't trust guyz  meri prblm solve nhi kr rhe h mjhe fake prouducts dekr koi response nhi aa rha h me roz try krti hu mjhe mere pese return nhi aa rhe h worst app hate yu nyka,-1
like convenient friendly,2
fast save time queue,2
okje,1
worst app discriminate people freedom,-1
easy track history go,2
updating status nothing appears updates mysejahtera truly disappointed data must updated sunday public holidays use even worth star,-1
ca open lagging,-1
Please tell me about the offer i want a product nd its price is 1700 .. give me the best offr plz,-1
easy convenient use,2
overall good app find products readily available indian market,2
great applications,2
fixed must allow storage permission,-1
excellent,2
ok,1
great apps,2
Just loved it...!!,2
cant register fak app,-1
service improved provider good job,2
used usefull apps sekarang cam haram dah update status hari tapi masih tak dapat tarikh vaksin adik aku yg bujang muda sihat dah dapat kita yg nak dkt ni sampai ke sudah takde,2
great apps,2
Noob,-1
cant log id password corret still invalid,-1
useful people use application properly,2
great,2
The best makeup store a girl could ever need!,2
excellent application,2
fast n furious,2
qr code refresh profile function working please advice thanks,-1
worse app cannot register please fix,-1
fast n convenient,2
enter app keeps asking questions keeps saying invalid id please fix,-1
nice,1
user friendly,1
fast response,2
good,2
excellent gajet,2
smooth scanning always,2
cannot dismiss notification stay safe stay home bluetooth must times mysj trace please make silent app notifications might miss booster notification,-1
okay gonna go see three times freezer,2
waste people singing english,-1
open whatsapp messenger,1
make easier go anywhere prefer scan rather write name log book,2
best,2
give give information world love,2
awesome,2
apps teruk helpdesk x function mkn gaji buta dari bln report n yg terbaru dari smpai skrg xde pape update email pun x reply please laa kje professional jgn smpai org tuduh mkn gaji buta,-1
app efficient monitoring people wha may contracted virus,-1
really like appreciate little story blurbs reason give stars little story takes home page instead directly story want read try find story may day old full review,2
hell account suspended ordered many items recovering time open dispute wrong abusing policy return money block id give damn worst experiencing app return money items ordered received non sense,-1
"Worst customer service and courier service. Waited for weeks to receive my order after complaining to customer service. On checking the status of my order, I was shocked to see that it was returned by the courier service without my consent !",-1
loved nykaa,2
easy use excellent,2
Loveeeeeeee nykaaaaaaaaaaa .....Best app for your daily needs!!,2
Great,2
fast easy,2
otp problem invalid suck,-1
help,2
"hello my app doesn't work that same time again download the app but can't log in,why?",-1
superb,2
Stop selling fake products..,-1
easy use,2
Worst shopping experience ever Bad customer care services Never allows return or cancellation of orders,-1
good,2
sign even password id numb correct please fix app,-1
good,2
it is awesome..,2
sijil gone ic match mysejahtera apps already report times still useless,-1
kindly use helpdesk function already told cant even click helpdesk button seriously,-1
cannot update profile please help already vaccinated bur reflect anyone alive,-1
slow macam kerajaan dia,-1
update status vakcinated happen vaksin certerficate date mysejahtera fix almost month mysejahtera bad apps,-1
nice app,1
"Worst shopping experience ever. I have ordered maybelline fit me lighter 
shade and they have send darkest shade not once but twice and exchange 
facility is also not there its a complete waste of money.",-1
good,2
easy use fast buggy,2
excellent,2
feel good,2
user friendly practical,1
This is the worst shoping experience I have had yet with any app. Even the Chinese apps are better than them. I am waiting since 9 days to get the product. All they give is automated replies. Worst customer service and even worse delivery team.,-1
days aol version updated android phone email fine new emails longer appeared inbox unless swiped finger refresh screen went folder another notification new email aol letters upper left hand corner screen longer appeared even though notifications feedback tech said cleared cache removed email account app restarted phone uninstalled reinstalled app work member nancy hwa review indicates issues like aol member years aol please fix problem maybe another aolapp update warranted thank,2
"I wish there was a minus star I would rate that. I was told my package will be delivered on 5th Dec. And since then I have been contacting Nykaa for my package. All they say is wait till tomorrow or 25hrs. But their tomorrow means 2020 or later, I suppose. Worst service. WORST!!!!",-1
fast efficient,2
good experience,2
great,2
good,2
supper alarama,2
cannot log logging despite resetting prompted still cannot log despite following helpdesk advice letter reset phone deleted reinstalled app tried steps suggested helpdesk still cannot log using iphone mini latest os still cannot log despite steps outlined helpdesk every response helpdesk usual standard reply help maybe developers update app problem resolved,-1
"If I've already provided my name, order no, phone no and after that CC can't hear me due to some network issue, you just hang up!! Aren't you supposed to call back? Is the customer supposed to spend another 10-15 mins calling you and explaining the problem to another CC executive. Absolutely pathetic!!",-1
helpful pandemic,2
nice,1
Worst app ever .. refund process is very bad .. for damaged product,-1
Superb product. Like it,2
Very worst delivery in thuckalay area. The product was returned because of delivery person.,-1
use full,2
terrible cant update status cant logout cant check vaccine detail vaccine appt date,-1
great app,2
nice apps,1
efficient user friendly,1
fast check,2
user friendly,1
good,2
Loved itt!,2
nice attractive function members friendly best choice meet new friends,2
best app,2
Worst services provider,-1
problem app cannot register otp invalid,-1
convenient apps friendly use always keep public correct infos star,1
well prefer used physical illness always better visit doc awesome easily solve lille problems submitting symptoms worths stars,2
nice many people inside,2
fast reliable,2
ok,1
lost mobil old sejahtera need thre certifecat alredry vacsion done,-1
Awsome,2
good,2
ok,1
fast snd convenient,2
love apps,2
I am so disappointed with purchasing I ordered 10 thing's and I only receive 9 things very big disappointment I will never shop again,-1
The application just keeps stopping on my phone and shuts down automatically,-1
easy use informative,2
v good rting,2
awsome app....genuine products n grt discounts n offers,2
great need add fingerprint login pretty much every security,2
thanks frontliners sacrifice safety health sake others life thanks much,2
excellent,2
poor,-1
ok,1
Worst service on return and replacement.. I have placed a return request on 20th aug till now no update from nykaa. When i called them today they said they will try to resolve the problem asap.. Its being 3 days now no action has been taken yet.. I have received the open lipstick worth rs 1200.. They won't take the action on priorities you need to follow up many times..,-1
excellent,2
like,2
awesome,2
good,2
"i ordered a hair serum and made an online payment for the same. now, when I am tracking my order, it says that delivery failed and i wasn't there to accept it. However, its totally wrong. there was no attemt for delivery. Also, there was no information from nykaa and at the end of the day, i wasted my money. I didnt recieve my order and money. worst experience with nykaa.",-1
pay company foandr wifi seems interfere keep putting mine hotspot uninstall feedback plz,1
ok,1
easy use useful,2
nice products,2
serves purpose well,2
good know happenings around town,2
app many bugs,-1
Been 12 days since haven't received my order.. I will never buy from nykaa again .. Very poor service,-1
stupid apps,-1
Kinda unhappy with the customer care service. Neither the amount has been credited to my account nor has the replacement taken place.,-1
instructions app clear easy follow esp elderly one like thank,2
like flaw like limited page size would like option text page endless text makes easier copy paste large groups text,2
love love much cool omg l l,2
excellent,2
user friendly,1
easy,2
ok,1
helpdesk useless days proper response till almost months inquiry solve,-1
slow start,-1
nice,1
need improve qr detection,-1
tried upgrade mysejahtera functioning please help,-1
products bought are best nd cheapest prices...plus undoubtfully uget the original products,2
ok,1
able log never,2
much love app n phone got wiped replace fixed phone cos love,2
excellent,2
user friendly,1
Greatly privileged,2
user friendly,1
efficient user friendly,1
awesome app helped several problems already diagnose gives possible diagnoses could problem,2
slow,-1
one greatest apps,2
haa bolelah bg nice,1
ok,1
ok,1
everything ok,1
"I don't know whats wrong with nykaa. I have ordered so many products but 
never faced any problem but in my last order when they have sent me a wrong 
product, i have filed a complaint regarding the same, they promised to 
contact me within 24 hrs but, now when iam trying to contact them again 
there is no response like before. Now, what iam suppose to do? Shall i put 
this on social sites or in consumer complaint site. Hopeyou people now 
response.",-1
love it,2
Worst service everr i did nt received my order yet nd when i m calling back the agent he talk to me rudely did nt experience this behaviour b4 ..they only call me once ..did nt try to attempt to reach my address luking lyk they dunt want to ..pathetic service period!,-1
great,2
bad,-1
useless app give zero star would,-1
app works fine stall building registered mysejahtera glad app hopefully remove covid sooner pray malaysia kitajagakita,2
useful efficient malaysia government apps friendly user easy navigate reliable must living malaysia,2
slow,-1
lousy app update always ask questions covid status unable sent id problem,-1
please update status fully vaccinated almost months already helpdesk help,-1
It's great,2
Poor delivery service.,-1
well done,2
nice,1
help us circuit breaker,2
okeyy,1
easy use,2
hell lot easier thought would,1
fraud even international online shoping site more faster then this naykaa....i request all people to do cod coz after receiving the money naykaa will not send your product.....i placed my order one month before with full payment naykaa haven't send my product.....iam still contracting everyday still didnt get any result...n customer support there is useless....they make fake assurance that you shipment will deliver today or tomorrow each time i called they said that same old line....worst service,-1
Worst customer service. U can not return products they will just reject ur request of return,-1
Awesome,2
useless,-1
easy use,2
great apps may fight covid,2
good app good service,2
simple fast,2
love nyka,2
ok,1
dah update tapi kenapa tak ada yang boleh daftar kan nama isteri sekali please helpp,-1
strange sure knew showing youtube english speaking tubers maybe confusion sure nice,2
useless malaysian app pls hire better app developer,-1
Can't order anything now it's always say dat my pincode is not available.. till last year I can order ny product...,-1
The app is not opening only,-1
nice app,1
ok super,1
tough clever update really disappointed log log back whole apps got problem showing fully vaccinated got fully vaccinated digital cert,-1
please improve app log even registered frustrated,-1
wont appear register screen press register button function bug please fix,-1
good products,2
update cant even open sejahtera,-1
slow much app funded,-1
love,2
love app gave difficulty right sections change hard also gets information needs envasive highly recommend,2
bug slow sometimes login stuck,-1
keep saying unfortunately mysejahtera stopped problem,-1
easy use,2
best app ever used,2
poor apps,-1
keeps locking tried uninstalling reinstalling help done fix,1
recently started using app really enjoy suited personal goals needs perfect,2
nice and helpful,2
sangat bagus,-1
I can't track my order details.,-1
Worst app ever ... it has been 5-6 days I have ordered products but still there is no notification of packed delivery or anything.. I wish I would have read all reviews before only.. not at all happy by the service..I am not gonna shop from this site again in future..,-1
guidelines apply mysejahtera qr code tried many times scan selangkah qr code recognise code please share apply qr code mysejahtera,-1
Love this app,2
excellent,2
Very easy and chief prize,2
fast n easy,2
hate boring dislike much,-1
nykaa is my first choice fr cosmetics n makeup,2
good,2
good exprnc,2
best apps,2
excellent,2
provide discount freebies,1
excellent site friendly,2
slow experience registering takes lifetime,-1
Delivery boy ne koi attempt nhi kiya..sirf 1 sec call kiya or kuchh bola nhi..ye uski trick h..order cancel krwane ki..kl uska call aaya but sirf bike chlane ki aawaz aa rhi..khud kuchh nhi bola..taki call attempt dikh ske..aaj bina mujhe delivery ke liye bole hi aage msg forward kr diya ki mne refuse kr diya..mne koi refuse nhi kiya..m 2 din se preshan ho rhi hu delivery ko lekr..plz is delivery boy ke against action liya jaye..or mujhe mera parcel shi time pr diya jaye..,-1
okay lah daripada tak ada,1
excellent,2
Excellent app,2
great,2
easy use,2
troubled times app helps getting crucial information masses good job,2
great,2
nicee app,1
I liked this app a lot and i am prive member if this app shoped for 10k and now i shopped for 2k in sale but One of my product is missing in my order and there is no response very disappointed and chat now is also not available,-1
loving nykaa totally..... great daily offers.... love u nykaa,2
good,2
nice,1
nice,1
easy tu use feel safe,2
easy n fast,2
good,2
good important app malaysian admin please add point collector user collect change discounted gov fees promote user use app actively,2
like,2
bad,-1
slow,-1
app job fairly well guess,2
best beauty app ever...too cheap ..huge discount,2
simply love,2
Bluedart courier partner of nangal dam Punjab wrost..... Service...... Image of nykaa Effected with below partner So i suggest ASAP change........ Regular customer are Iriatated with service.....,-1
useless,-1
quick easy order contacts app love really saves time money makes extremely happy got love free market capitalism,2
worst,-1
helpdesk response already received dos vaksin status show partially vaccinated please rectify error,-1
fast info update,2
Why it is suddenly unavailable in my city?,-1
Loved it,2
great app,2
everytime remind covid really love,2
ok,1
ok,1
nice,1
The products are genuine and reach the expectations,2
cant log apps even im reset password please fix problem asap,-1
coronavirus hate,-1
Bogus APP.Delivery partners are fake.never recommend anyone for this,-1
ok,1
fast,2
saya rate star mana tau esok nama terpilih untuk vaksin,1
Wow,2
"This used really good, 7/31/18 update crashes constantly, open. Are going fix it?",-1
unable refresh profile unable click vaccine information app responding already contact helpdesk still reply helpdesk already reported problem month still cannot fix problem,-1
Worst app. Sooooo slow you guys are!! Can't track anything.,-1
awesome deals always !,2
called ball pool rules makes ball pool absent instance make break pull put right back center table scratch lose game unless made make ball break table still open get choose want make break follow make another ball still open game sucks dick going try compare ball pool since premise game missing completely ball pool built fact make ball break scratch win fun game ball pool even allowed name,-1
Very worst they font even respond about product related issue i just hate this app,-1
easy use,2
nice apps,1
wanted write company say reading notes sound like bunch racists please chinese damn racists,2
slow,-1
worst company card year work spending hours phone customer supervisors l done use ace elite,-1
nice,1
user friendly effective measure responsible parties,1
latest update slow,-1
year old son never disappointed means neither brilliant round well done asos x,2
fast easy,2
good,2
cant check cant redo,-1
useless,-1
thanks,2
got many discounts offers select product wait discount purchase product,1
nice app,2
nice,1
useful app many discount prices also wide variety cosmetics,1
jawed,1
slow,-1
excellent,2
year since used app yet simplest function checkins still faulty multiple checkins police ask external checkins like mall police ask also refer police stupid runs app let question flaws app useless,-1
very well,2
best app,2
great hotspot feature easy use,2
updated bluetooh tracker seem sync bad,-1
easy faster,2
awesome,2
good,2
good,2
great apps,2
apps slow take time open,-1
cheap apps need manual refresh long step stupid goverment apps developer,-1
fast efficient,2
in love with nykaa,2
excellent,2
first time app always used doctors office stand behind tore contacts hoping solve problem contacts,-1
nice app,1
When l am trying to order it is say we are not accepting orders of subtotal less than 299 even tho the subtotal is 318 rupees,-1
great,2
excellent apps,2
good,2
Super app,2
Big cheaters,-1
I like this app,2
buttons work tried reinstall could register please assist,-1
nice,1
useful n simple yet effective tools prevent covid,2
good,2
Customer care toll free number  not avaliable  please improve your  refund or replacement   and customer care  service,2
totally impressed many asus like sound recorder superior quality simple use,2
like mysejahtera help,2
okay,1
bad apps,-1
good app love,2
need time rate,1
ok,1
best,2
forgot pasword choosed forgot pasword sejahtera cannot solve bad apps,-1
elegent fully,2
app terrible,-1
excellent,2
easy useful,2
Trustworthy place to shop beauty n skin care,2
bad,-1
cant open sejahtera phone problem please help cant go supermarket without sejahtera,-1
informative,2
friendly app,1
lemah dah ambik dos pn ttap xde sijil digital dah banyak kali hntr email psl sijil digital pn ttap xde jgk please feedback jgn bt xthu je,-1
well sejahtera,2
best cosmetic shopping app ever genuine product fast delivery service fully satisfied recommend give try,2
great app convinient check,2
I ordered for the first from this website.. Products that I needed on urgent basis and I have recieved some stupid face masks instead. I have already paid for my order. And the complaint portal isn't working either. Very Disappointed.,-1
easy use,2
ok,1
app new works fast,2
fantastic exactly product received,2
effective friendly,1
amazing,2
Thanks Nykaa,2
Fantastic!!,2
amazing,2
Common items not available.,-1
good,2
useless app selfish government,-1
cant log mysejahtera bad hopefully someone csn help,-1
easy use getting info update regarding covid,2
so poor service cant track my order its been 10 days i havnt recieve my order very disappointed,-1
best dpt main pubg dlm ni,2
best app ever ever ever n ever,2
Worst app ever Delivery ni krte hai sirf order place krte hai fake tracking show hota hai cll v ni aata,-1
really enjoy app really count short term forecast heading latest version broken pixel running android p,2
excellent,2
love options,2
ok,1
okay easy use,1
excellent really works,2
Easy to buy any product. I liked it,2
great app,2
Delivery sucks...no way to track orders...orders don't get updated..rubbish website,-1
okk,1
helpful buy product,1
slow hang poor services,-1
fast respond,2
right,1
excellent,2
thanks lot care,2
app nice,1
aku punya sejahter aps ni klau closed yg qr kod scaner tu kluar page soalan yg kene jwb masalah nya page tu jd blank kluar cancel submit je kt bawah tu please repair problem skrg hnya bleh guna utk history scan sahaja,-1
sekarang masalah tak boleh nak reset password tolonglah rakyat,-1
This app is just useless.... service iz very poor ..not yet received my ordered..Amazon n Flipkart. ...r only best app ... uninstalling this useless app....Neva recommended,-1
nice,2
bit slow love,-1
aku nak daftar vaccine pun tak boleh apahal ek update dah apa semua scan qr tu boleh asal phone aku sangkut time dia mintak location dalam app tu dari boleh scan qr sampai tak boleh terus sebab log balik fix app please,-1
nice,2
great,2
Worst experience. I ordered Bblunt Hair colour spray and I got used bottles. Nykaa doesn't have return or replacement policy. And there's no contact number that's available.,-1
No,1
awesome,2
faster easier,2
nice,2
I like everything about the app and best thing is they restore all the out of stock product really quick online love the app,2
best add free play color font controls make look way want easy eyes text speech option best voice want start listening every day home car listen books full review,2
good range products quality best brands available reasonable price,2
nice,1
poor delivery services materials good,2
good,2
Not satisfied ur delivery man,-1
nice,1
thank much,2
great fast,2
see alot rakyat facing problem password reset code changed new phone issue auto reply working sending us back exact page came reset password link tried still work please help us fix issue lost previous vaccination records months frustrating turned certain places vaccination record could shown,-1
easy use remembered last order figure,2
friend recover old sajahtera lost phone number name installed new sejahtera new number old vaccined record come really stress,2
friendly use,1
im using latest version ask help desk fix cases able get digital cert booster fail generate qr booster try reinstalled still,-1
able install cant open app please help,-1
best children parents ever entire years ever seen thank abcmouse com,2
Great availability and authentic produxts,2
im new used apps,2
update check button gone cannot check places checked auto respond email support team useless,-1
lousy app update app dad shown app longer compatible device app maker mean nid change smart phone b cos ur app friendly user app future many people nid change phone b cos ur app update pls think ppl convenient making lot problem people,-1
fast,2
great mind behind great app,2
app system got bug white status vaccinenation white latest patch update want check needed go profile show mall guard wtheck la alredy report many time still change haiz,-1
"Excellent, esp way delivers news alerts, concise, unobtrusive, easy see decide want open not. Very quick loading, even old Note 3. The content good, varied. This far favorite news app. Others seem bloated compared this. ... Full Review",2
need register new appointment mysejatera,2
awesome,2
nice,1
excellent,2
helpful,2
High prices,-1
great,2
slow update,-1
terrible,-1
fast easy,2
easy used conviniean,2
excellent,2
great app goverment keep updated ur covid issue,2
smooth scanning fast result,2
Very bad,-1
awesome products and discounts,2
It's owsam App to buy beauty products & cosmetics,2
excellent app,2
helpful,2
aku nk rset pasword pun jdi mslah apa bnde laa bodoh bangang ni jadi mnyusah kan orng buang msa orng apa smua amat amat menyusah kan orng stupid app,-1
stupid update,-1
excellent,2
bad slow,-1
log log apps history check ins gone least let us backup data choose wipe histories point keeping server could keep check new location previous location automatically check ended check lot places unknowingly apps suddenly changed casual contact symptom inform infected time date place visit covid case guess health assessment days cannot enter places without knowing status changed seriously please make useful improvement,-1
worst courier service ever,-1
dissappointing helpdesk service untill still response asking helpdesk team via whatsapp telegram number given already week calling hotline waste time since line always busy whatever reason stuck home quarantine mysejahtera set covid confirmed status positive even regularly update negative,-1
complaint handle fast thts important want fast results,2
it is the best app ever seen i love shopping from it,2
saya dah cucuk dose setiap kali nk upload gmbar kad vaksin fail always buffring mcm lagging da call byk kali operator cakap kami xtau kalau tak tau mcm mana buat system bila nk minta phone number nk bagitau dah vaksin operator cakap tak tahu jd apa guna kesudahan sy guna kad sja system tlg la bgi senang org,-1
good enough,2
like easy love check balance without paying fee,2
nice,1
absolutely in love with d products being delivered by nykaa 100% original products with reasonable offers!,2
never worked accurately interferes regular wifi connections certain areas update automatically,2
like,1
good offers authentic quality nice purchasing experience,2
likes,2
ok la cuma lambat dapat appointment,1
choice contact give feedback consider apps use malaysian way contact helpdesk hotline even number organization cannot solve problem,-1
v nice,2
lepas kena update tiba tak dapat buka please improve,-1
Great Experience Love the products exciting Offers,2
awesome,2
click register blank page appear problem register,-1
amazing packed small mobile version ps almost daily editing along lightroom makes really professional editing workplace,2
excellent,2
done update fully vaccinatd even wait month tq,2
awesome,2
sejahera problem updet please help,-1
good,2
fast,2
friendly user,1
best,2
great app tracking movements updated covid status even use offline check hope ends get keep app forever looking back history,2
user friendly,1
good,2
Thank u for such a amazing products,2
one best app makeup lovers,2
gastro version coming android,1
easy use,2
excellent work really j love thus app,2
excellent precise,2
This site does not provide return on any of the products delivered. Even if u get a damaged product they will say it is not their policy.,-1
ok,1
"Hi team, I was trying to chat with customer care, but the app has started lagging. It does not work as expected, and I am not able to view any updates from the team in the chatbox - instead a new thread starts. Also, please enable a two step verification process for email as well as mobile number.",-1
convenient need write times day surau,-1
worst ever,-1
excellent,2
Most trusted and reliable app for personal care and drug stores products purchasing with great offers and discounts which are never available in local market or even wholesale market,2
excellent,2
mysj trace setup show android phone please fix bug enable us report bugs properly using application helpdesk targeted usage issues application level issues read reviews saying response previously could set always interactions even go grocery shopping bit ridiculous,-1
goverment app useless,-1
excellent best,2
worst,-1
great,2
Hub of beauty products at best price,2
excellent,2
nykaa app is not working...its not opening only...it gives error,-1
easy use,2
friendly convenient,1
great,2
seriously cant scan fxxing qr code stand outside minutes like idiot,-1
ure updating app ios un android really menyusahkan orang la app ni kalau nak buat smart way buat la betul betul macam mana boleh buat app yang lowclass untuk benda penting aku tak boleh nak beli barang sebab app bodoh ni vaksin pun dah ambik tapi useless,-1
latest update full bugs keep asking turn bluetooth location draining battery,-1
pengurusan kesihatan yang baik akan menyelamatkan berjuta nyawa dan rakyat nya mengelak daripada jangkitan virus yang sukar di atasi hanya cara mengelak lah dan mengekalkan sop kebersihan diri akan boleh mengurangkan daripada jangkitan,-1
xde masalah ok je,1
badly designed app ca even register end registration shows link expired happened multiple times,-1
superbb,2
experience developer good job keeping app date bugs believe fixed anytime soon would nice developer open beta users bug detect sooner,1
Show off app,-1
selalu sangat kena update data dahla slow nak mateyy haihghhajajahahabsgsbsshsgshsjsbsb,-1
Grt,2
stupid apps,-1
easy used even sometime take time open,-1
reliable gave stars less oriflame avon products sometimes get bad packaging,-1
simple fast,2
awesome,2
Total waste,-1
good,2
support like,2
ok,1
crazy first try bam chose ones even people know knew crazy guy bit freeked hey great game thank u creaters,-1
lost digital certificate updating please assist reinstate,-1
useful,2
useless registered times still cant log waste time,-1
great,2
very expensive products.,-1
bad app,-1
cant get latest update saw lot ppl nw getting latest update tht showing dos vaccine mine still dos,-1
samsung ok,1
ok,1
cannot login please fix asap,-1
great apps,2
good,2
Delivery issue,-1
great add history dependent check option,2
thank,2
sometimes slow,-1
loading slow,-1
great,2
excellent apps,2
Love it,2
changed phone activate mysj trace enable bluetooth push notification please fixed annoying,-1
why can't you guys restock your items? i have been waiting for months to buy some cosmetics but they are not available for so long. it's better I go out and buy from a nearby store.,-1
user friendly,1
makes life easier,2
excellent,2
excellent,2
Worst apss ..i have ever seen,-1
